n_states,restart,aic,bic,logL
2,0,12822.234321383954,13004.433634160905,-6380.117160691977
2,1,12822.234273263084,13004.433586040035,-6380.117136631542
2,2,12822.23407063153,13004.433383408481,-6380.117035315765
2,3,12822.23435787622,13004.43367065317,-6380.11717893811
2,4,12822.234304718617,13004.433617495568,-6380.117152359308
3,0,7696.31275806368,7990.182617381344,-3798.15637903184
3,1,7696.316863038784,7990.186722356448,-3798.158431519392
3,2,7696.319492071123,7990.189351388787,-3798.1597460355615
3,3,7696.317008145462,7990.186867463126,-3798.158504072731
3,4,7696.319014150637,7990.188873468301,-3798.1595070753183
4,0,4612.063190809215,5029.358391040298,-2235.0315954046073
4,1,4540.828713687032,4958.123913918115,-2199.414356843516
4,2,4574.695725377707,4991.99092560879,-2216.3478626888536
4,3,4579.464291886297,4996.75949211738,-2218.7321459431487
4,4,4657.7079379813,5075.003138212383,-2257.85396899065
